01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ|2002-01-01|2006-12-31
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ|2007-01-01|2009-12-31
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ|2010-01-01|2011-12-31
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ:|2012-01-01|2012-08-22
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ|2012-08-23|2016-12-31
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ|2017-01-01|2021-12-31
01|01|ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ|2022-01-01|
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ|2002-01-01|2006-12-31
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ|2007-01-01|2009-12-31
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ|2010-01-01|2011-12-31
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ:|2012-01-01|2012-08-22
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ|2012-08-23|2016-12-31
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ|2017-01-01|2021-12-31
01|02|КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ|2022-01-01|
01|03|СВИНЬИ ЖИВЫЕ|2002-01-01|2006-12-31
01|03|СВИНЬИ ЖИВЫЕ|2007-01-01|2009-12-31
01|03|СВИНЬИ ЖИВЫЕ|2010-01-01|2011-12-31
01|03|СВИНЬИ ЖИВЫЕ:|2012-01-01|2012-08-22
01|03|СВИНЬИ ЖИВЫЕ|2012-08-23|2016-12-31
01|03|СВИНЬИ ЖИВЫЕ|2017-01-01|2021-12-31
01|03|СВИНЬИ ЖИВЫЕ|2022-01-01|
01|04|ОВЦЫ И КОЗЫ ЖИВЫЕ|2002-01-01|2006-12-31
01|04|ОВЦЫ И КОЗЫ ЖИВЫЕ|2007-01-01|2009-12-31
01|04|ОВЦЫ И КОЗЫ ЖИВЫЕ|2010-01-01|2011-12-31
01|04|ОВЦЫ И КОЗЫ ЖИВЫЕ:|2012-01-01|2012-08-22
01|04|ОВЦЫ И КОЗЫ ЖИВЫЕ|2012-08-23|2016-12-31
01|04|ОВЦЫ И КОЗЫ ЖИВЫЕ|2017-01-01|2021-12-31
01|04|ОВЦЫ И КОЗЫ ЖИВЫЕ|2022-01-01|
01|05|ДОМАШНЯЯ ПТИЦА ЖИВАЯ, ТО ЕСТЬ КУРЫ ДОМАШНИЕ (GALLUS DOMESTICUS), УТКИ, ГУСИ, ИНДЕЙКИ И ЦЕСАРКИ|2002-01-01|2006-12-31
